Trial,Diameter,Distance,Index of Difficulty (ID),Time (s)
1,30,100,2.115,0.699
2,90,300,2.115,0.633
3,60,100,1.415,0.417
4,60,300,2.585,0.71
5,30,100,2.115,0.614
6,90,300,2.115,0.597
7,30,200,2.939,0.637
8,60,300,2.585,0.592
9,90,200,1.688,0.614
10,90,300,2.115,0.508
11,60,100,1.415,0.463
12,30,200,2.939,0.503
13,30,300,3.459,0.592
14,90,100,1.078,0.242
15,90,100,1.078,0.285
16,90,100,1.078,0.285
17,60,200,2.115,0.437
18,60,200,2.115,0.552
19,30,300,3.459,0.702
20,90,200,1.688,0.434
21,60,100,1.415,0.33
22,60,200,2.115,0.625
23,30,300,3.459,0.502
24,60,300,2.585,0.566
25,30,200,2.939,0.628
26,90,200,1.688,0.597
27,30,100,2.115,0.5
